iter	Passed	Remaining
726	26436	9927
727	26468	9889
728	26498	9850
729	26528	9812
730	26566	9776
731	26602	9739
732	26635	9702
733	26672	9666
734	26710	9630
735	26744	9593
736	26778	9556
737	26812	9518
738	26845	9481
739	26879	9444
740	26914	9407
741	26955	9372
742	26987	9334
743	27020	9297
744	27052	9259
745	27086	9222
746	27123	9186
747	27159	9149
748	27193	9112
749	27229	9076
750	27262	9039
751	27299	9002
752	27333	8966
753	27366	8928
754	27404	8892
755	27443	8857
756	27476	8820
757	27510	8782
758	27543	8745
759	27575	8708
760	27609	8670
761	27643	8633
762	27674	8596
763	27703	8557
764	27734	8519
765	27773	8484
766	27803	8446
767	27835	8408
768	27874	8373
769	27907	8335
770	27945	8300
771	27978	8262
772	28008	8225
773	28045	8188
774	28085	8153
775	28118	8116
776	28151	8079
777	28189	8043
778	28223	8006
779	28279	7976
780	28334	7945
781	28366	7907
782	28403	7871
783	28438	7835
784	28473	7798
785	28508	7761
786	28542	7724
787	28578	7688
788	28612	7651
789	28647	7615
790	28679	7577
791	28719	7542
792	28752	7505
793	28785	7468
794	28816	7430
795	28849	7393
796	28887	7357
797	28923	7321
798	28959	7285
799	28989	7247
800	29034	7213
801	29071	7177
802	29106	7140
803	29137	7103
804	29168	7065
805	29210	7030
806	29249	6995
807	29290	6960
808	29327	6923
809	29359	6886
810	29391	6849
811	29426	6813
812	29467	6777
813	29499	6740
814	29538	6704
815	29571	6668
816	29606	6631
817	29646	6596
818	29682	6559
819	29718	6523
820	29754	6487
821	29792	6451
822	29826	6414
823	29863	6378
824	29899	6342
825	29932	6305
826	29972	6269
827	30002	6232
828	30043	6197
829	30073	6159
830	30104	6122
831	30141	6086
832	30175	6049
833	30205	6012
834	30238	5975
835	30271	5938
836	30313	5903
837	30350	5867
838	30383	5830
839	30416	5793
840	30452	5757
841	30486	5720
842	30522	5684
843	30554	5647
844	30586	5610
845	30621	5574
846	30656	5537
847	30689	5501
848	30723	5464
849	30755	5427
850	30794	5391
851	30833	5356
852	30866	5319
853	30899	5282
854	30930	5245
855	30966	5209
856	31000	5172
857	31029	5135
858	31067	5099
859	31099	5062
860	31138	5027
861	31173	4990
862	31203	4953
863	31238	4917
864	31270	4880
865	31307	4844
866	31339	4807
867	31376	4771
868	31406	4734
869	31443	4698
870	31480	4662
871	31514	4626
872	31550	4589
873	31584	4553
874	31621	4517
875	31659	4481
876	31696	4445
877	31729	4408
878	31764	4372
879	31799	4336
880	31834	4299
881	31865	4263
882	31900	4226
883	31937	4190
884	31974	4154
885	32005	4118
886	32035	4081
887	32067	4044
888	32100	4008
889	32133	3971
890	32163	3934
891	32196	3898
892	32232	3862
893	32265	3825
894	32300	3789
895	32334	3753
896	32366	3716
897	32398	3679
898	32433	3643
899	32473	3608
900	32507	3571
901	32537	3535
902	32574	3499
903	32612	3463
904	32645	3426
905	32677	3390
906	32713	3354
907	32744	3317
908	32780	3281
909	32810	3245
910	32840	3208
911	32877	3172
912	32911	3136
913	32947	3100
914	33019	3067
915	33101	3035
916	33170	3002
917	33232	2968
918	33305	2935
919	33369	2901
920	33415	2866
921	33471	2831
922	33506	2795
923	33541	2758
924	33577	2722
925	33610	2685
926	33649	2649
927	33683	2613
928	33715	2576
929	33753	2540
930	33793	2504
931	33828	2468
932	33860	2431
933	33890	2394
934	33927	2358
935	33966	2322
936	34003	2286
937	34034	2249
938	34067	2213
939	34102	2176
940	34137	2140
941	34177	2104
942	34218	2068
943	34252	2031
944	34292	1995
945	34327	1959
946	34366	1923
947	34397	1886
948	34436	1850
949	34469	1814
950	34501	1777
951	34534	1741
952	34568	1704
953	34602	1668
954	34634	1632
955	34664	1595
956	34695	1558
957	34726	1522
958	34761	1486
959	34795	1449
960	34833	1413
961	34865	1377
962	34903	1341
963	34938	1304
964	34973	1268
965	35007	1232
966	35043	1195
967	35082	1159
968	35121	1123
969	35175	1087
970	35216	1051
971	35251	1015
972	35284	979
973	35317	942
974	35355	906
975	35409	870
976	35442	834
977	35479	798
978	35517	761
979	35561	725
980	35595	689
981	35633	653
982	35668	616
983	35703	580
984	35741	544
985	35774	507
986	35809	471
987	35842	435
988	35880	399
989	35916	362
990	35950	326
991	35985	290
992	36021	253
993	36063	217
994	36099	181
995	36132	145
996	36166	108
997	36205	72
998	36239	36
999	36276	0
